Ingredient,Foods
salt,"['Asam padeh', 'Ayam bakar', 'Ayam balado', 'Ayam bumbu', 'Ayam goreng', 'Ayam lado ijo', 'Ayam percik', 'Ayam pop goreng', 'Ayam pop rebus', 'Sambalado', 'Baluik goreng', 'Daun ubi tumbuk', 'Dendeng', 'Dendeng balado', 'Dendeng batokok', 'Gulai daging', 'Gulai ati', 'Gulai ayam', 'Gulai babek', 'Gulai banak', 'Gulai cancang', 'Gulai gajeboh', 'Gulai itik', 'Gulai jariang', 'Gulai kepala ikan', 'Gulai kambiang', 'Gulai kepala ikan kakap merah', 'Gulai limpo', 'Gulai tunjang', 'Gulai udang', 'Gulai paku', 'Ikan bilih', 'Kepiting saus padang', 'Lele goreng', 'Paru goreng', 'Pergedel jaguang', 'Rajungan goreng', 'Talua balado', 'Terong balado', 'Udang balado', 'Keripik sanjai', 'Kerupuk jangek', 'Peyek', 'Peyek udang', 'Gulai sayua', 'Jariang lado tomat', 'Ikan Panggang', 'Ayam Cabe Merah', 'Sambal Teri', 'Pangek Masin']"
kurma (dates),['Ayam kurma']
Beef,"['Dendeng', 'Kalio Daging', 'Rendang', 'Satay daging', 'Soto padang']"
Fermented buffalo milk,['Dadiah']
Mixed fruits (coconut,['Es campur']
Garlic,"['Lado Ijo', 'Cumi Saus Padang', 'Kalio Ayam', 'Udang Saus Padang']"
cloves,['Nasi briyani']
coconut milk,"['Ayam bumbu', 'Ayam percik', 'Bubur kampiun', 'Daun ubi tumbuk', 'Gulai daging', 'Gulai ati', 'Gulai ayam', 'Gulai babek', 'Gulai banak', 'Gulai cancang', 'Gulai gajeboh', 'Gulai tambusu', 'Gulai itik', 'Gulai jariang', 'Gulai kepala ikan', 'Gulai kambiang', 'Gulai kepala ikan kakap merah', 'Gulai limpo', 'Gulai sumsum', 'Gulai tunjang', 'Gulai talua', 'Gulai udang', 'Gulai paku', 'Kalio Daging', 'Lemang', 'Nasi kari or nasi gulai', 'Rendang', 'Roti jala', 'Sambal lado tanak', 'Galamai', 'Pinyaram', 'Serabi', 'Lopek sarikayo', 'Wajik', 'Gulai sayua', 'Ayam Gulai Nangka', 'Pangek Masin']"
Rice Flour jelly,['Cindua']
Rice,"['Bubur kampiun', 'Ketupat', 'Nasi kapau', 'Nasi kari or nasi gulai', 'Nasi padang', 'Galamai', 'Kue putu', 'Pinyaram', 'Serabi', 'Cindua']"
syrup,['Es campur']
mackerel,"['Ikan Panggang', 'Pangek Masin']"
Cow skin,['Kerupuk jangek']
vegetables,"['Soto', 'Soto padang']"
banana leaves,"['Palai', 'Lupis', 'Tapai']"
Small freshwater fish,['Ikan bilih']
oil or ghee,['Roti tisu']
Boiled eggs,['Gulai talua']
Cassava leaves,['Daun ubi tumbuk']
chili paste,"['Ayam percik', 'Keripik balado']"
lime,"['Ayam balado', 'Ayam lado ijo', 'Ayam pop goreng', 'Ayam pop rebus', 'Dendeng balado', 'Gulai daging', 'Gulai ayam', 'Gulai banak', 'Gulai gajeboh', 'Gulai tambusu', 'Gulai itik', 'Gulai jariang', 'Gulai kepala ikan', 'Gulai kambiang', 'Gulai kepala ikan kakap merah', 'Gulai limpo', 'Gulai udang', 'Gulai paku', 'Kalio Daging', 'Kepiting saus padang', 'Rendang', 'Soto padang', 'Udang balado', 'Gulai sayua', 'Ikan Panggang', 'Ayam Cabe Merah', 'Sambal Teri']"
saffron,['Nasi briyani']
Lemongrass,['Kalio Ayam']
Sugar,"['Lado Ijo', 'Kalio Ayam', 'Kacang Tojin']"
Water,"['Lado Ijo', 'Cumi Saus Padang', 'Kalio Ayam', 'Kacang Tojin', 'Udang Saus Padang', 'Es Cendol']"
oil,"['Ayam bakar', 'Ayam balado', 'Ayam bumbu', 'Ayam goreng', 'Ayam lado ijo', 'Ayam percik', 'Ayam pop goreng', 'Ayam pop rebus', 'Sambalado', 'Baluik goreng', 'Dendeng', 'Dendeng balado', 'Dendeng batokok', 'Ikan bilih', 'Kepiting saus padang', 'Lele goreng', 'Martabak', 'Martabak kubang', 'Paru goreng', 'Pergedel jaguang', 'Petai goreng', 'Rajungan goreng', 'Roti canai', 'Keripik balado', 'Keripik sanjai', 'Kerupuk jangek', 'Peyek', 'Peyek udang', 'Roti tisu', 'Gulai sayua', 'Ayam kurma', 'Jariang lado tomat', 'Cumi Saus Padang', 'Kalio Ayam', 'Kacang Tojin', 'Udang Saus Padang']"
Vegetable,['Gulai sayua']
ground beef,"['Martabak', 'Martabak kubang']"
eggs,"['Gulai tambusu', 'Gulai talua', 'Martabak kubang', 'Pergedel jaguang', 'Roti canai', 'Roti jala', 'Sarikayo', 'Teh talua']"
Lime juice or tamarind,['Lado Ijo']
Shallots (sliced),"['Cumi Saus Padang', 'Kalio Ayam', 'Udang Saus Padang']"
yogurt,['Nasi briyani']
Chicken,"['Ayam bakar', 'Ayam balado', 'Ayam bumbu', 'Ayam goreng', 'Ayam lado ijo', 'Ayam percik', 'Ayam pop goreng', 'Ayam pop rebus', 'Gulai ayam', 'Satay ayam', 'Ayam kurma', 'Ayam Cabe Merah', 'Ayam Gulai Nangka', 'Kalio Ayam']"
Duck,['Gulai itik']
red chilies,"['Ayam balado', 'Dendeng balado', 'Talua balado', 'Terong balado', 'Udang balado', 'Ikan Panggang', 'Ayam Cabe Merah', 'Sambal Teri', 'Ayam Gulai Nangka', 'Pangek Masin']"
ghee or oil,['Roti canai']
red chili paste,['Keripik balado']
kaffir lime leaves,"['Gulai daging', 'Gulai ayam', 'Gulai banak', 'Gulai gajeboh', 'Gulai tambusu', 'Gulai itik', 'Gulai jariang', 'Gulai kepala ikan', 'Gulai kambiang', 'Gulai kepala ikan kakap merah', 'Gulai limpo', 'Gulai udang', 'Gulai paku', 'Kalio Daging', 'Rendang', 'Gulai sayua', 'Ayam Cabe Merah']"
Sweet soy sauce,"['Cumi Saus Padang', 'Udang Saus Padang']"
peanuts,"['Peyek', 'Kacang Tojin']"
Raw peanuts,['Kacang Tojin']
pandan leaves,"['Bubur kampiun', 'Lemang', 'Roti jala', 'Sarikayo', 'Kue putu', 'Serabi', 'Lopek sarikayo']"
Cendol,['Es Cendol']
Salt,"['Lado Ijo', 'Cumi Saus Padang', 'Kalio Ayam', 'Kacang Tojin', 'Udang Saus Padang']"
Chilies,['Sambalado']
Small freshwater eels,['Baluik goreng']
Meat and internal organs,['Gulai cancang']
Beef (or other meat),['Kalio Daging']
Corn,['Pergedel jaguang']
broth,"['Soto', 'Soto padang']"
young jackfruit,['Ayam Gulai Nangka']
Cow tripe,['Gulai babek']
Paku,['Gulai paku']
Cow foot tendons,['Gulai tunjang']
curry powder,['Martabak kubang']
tapioca pearls,['Es campur']
coconut water,"['Ayam pop goreng', 'Ayam pop rebus']"
scallions,['Martabak']
Garlic (minced),"['Cumi Saus Padang', 'Kalio Ayam', 'Udang Saus Padang']"
cinnamon,['Nasi briyani']
galangal,['Ayam Gulai Nangka']
